start_date,end_date,consolidated_power_consumption_value,updated_date,status
2021-01-02 00:30:00+01:00,2021-01-02 01:00:00+01:00,63726,2023-10-23 17:38:58+02:00,FINAL
2021-01-02 00:00:00+01:00,2021-01-02 00:30:00+01:00,65908,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 23:30:00+01:00,2021-01-04 00:00:00+01:00,69337,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 23:00:00+01:00,2021-01-03 23:30:00+01:00,69475,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 22:30:00+01:00,2021-01-03 23:00:00+01:00,70510,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 22:00:00+01:00,2021-01-03 22:30:00+01:00,68389,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 21:30:00+01:00,2021-01-03 22:00:00+01:00,67934,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 21:00:00+01:00,2021-01-03 21:30:00+01:00,69440,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 20:30:00+01:00,2021-01-03 21:00:00+01:00,71063,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 20:00:00+01:00,2021-01-03 20:30:00+01:00,72492,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 19:30:00+01:00,2021-01-03 20:00:00+01:00,74025,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 19:00:00+01:00,2021-01-03 19:30:00+01:00,74749,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 18:30:00+01:00,2021-01-03 19:00:00+01:00,74310,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 18:00:00+01:00,2021-01-03 18:30:00+01:00,72888,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 17:30:00+01:00,2021-01-03 18:00:00+01:00,70786,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 17:00:00+01:00,2021-01-03 17:30:00+01:00,68120,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 16:30:00+01:00,2021-01-03 17:00:00+01:00,65876,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 16:00:00+01:00,2021-01-03 16:30:00+01:00,65150,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 15:30:00+01:00,2021-01-03 16:00:00+01:00,65268,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 15:00:00+01:00,2021-01-03 15:30:00+01:00,65823,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 14:30:00+01:00,2021-01-03 15:00:00+01:00,66448,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 14:00:00+01:00,2021-01-03 14:30:00+01:00,67791,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 13:30:00+01:00,2021-01-03 14:00:00+01:00,69274,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 13:00:00+01:00,2021-01-03 13:30:00+01:00,71241,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 12:30:00+01:00,2021-01-03 13:00:00+01:00,73583,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 12:00:00+01:00,2021-01-03 12:30:00+01:00,73134,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 11:30:00+01:00,2021-01-03 12:00:00+01:00,71632,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 11:00:00+01:00,2021-01-03 11:30:00+01:00,70383,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 10:30:00+01:00,2021-01-03 11:00:00+01:00,69354,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 10:00:00+01:00,2021-01-03 10:30:00+01:00,68298,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 09:30:00+01:00,2021-01-03 10:00:00+01:00,67110,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 09:00:00+01:00,2021-01-03 09:30:00+01:00,65620,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 08:30:00+01:00,2021-01-03 09:00:00+01:00,64114,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 08:00:00+01:00,2021-01-03 08:30:00+01:00,63203,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 07:30:00+01:00,2021-01-03 08:00:00+01:00,62416,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 07:00:00+01:00,2021-01-03 07:30:00+01:00,61634,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 06:30:00+01:00,2021-01-03 07:00:00+01:00,60819,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 06:00:00+01:00,2021-01-03 06:30:00+01:00,60382,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 05:30:00+01:00,2021-01-03 06:00:00+01:00,59444,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 05:00:00+01:00,2021-01-03 05:30:00+01:00,59371,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 04:30:00+01:00,2021-01-03 05:00:00+01:00,58827,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 04:00:00+01:00,2021-01-03 04:30:00+01:00,59258,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 03:30:00+01:00,2021-01-03 04:00:00+01:00,59744,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 03:00:00+01:00,2021-01-03 03:30:00+01:00,60978,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 02:30:00+01:00,2021-01-03 03:00:00+01:00,62057,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 02:00:00+01:00,2021-01-03 02:30:00+01:00,63883,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 01:30:00+01:00,2021-01-03 02:00:00+01:00,64458,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 01:00:00+01:00,2021-01-03 01:30:00+01:00,65094,2023-10-23 17:38:58+02:00,FINAL
2021-01-03 00:30:00+01:00,2021-01-03 01:00:00+01:00,65262,2023-10-23 17:38:58+02:00,FINAL
